,DEPT[M],TILT_(ATV),AZIMUTH_(A
L-891_3a24-406,15,38.9000,18.100000000000023,OTV
L-891_3a24-406,20,38.5667,18.633000000000038,OTV
L-891_3a24-406,25,38.8000,17.5,OTV
L-891_3a24-406,30,39.4667,17.43300000000005,OTV
L-891_3a24-406,35,39.8667,16.033000000000015,OTV
L-891_3a24-406,40,39.6000,14.700000000000045,OTV
L-891_3a24-406,45,39.7333,14.100000000000023,OTV
L-891_3a24-406,50,39.7000,13.100000000000023,OTV
L-891_3a24-406,55,39.5000,13.600000000000023,OTV
L-891_3a24-406,60,39.9667,11.367000000000019,OTV
L-891_3a24-406,65,41.1000,9.5,OTV
L-891_3a24-406,70,41.2333,10.467000000000041,OTV
L-891_3a24-406,75,40.4000,10.800000000000011,OTV
L-891_3a24-406,80,40.3000,10.200000000000045,OTV
