
   DEPT[M]  ROLL_(ATV)  TILT_(ATV)  AZIMUTH_(A
     14.3069     262.300     40.4000     351.400
     14.3169     234.400     38.6000     359.200
     14.3269     234.300     38.4000     359.200
     14.3369     234.000     38.6000     359.200
     14.3469     233.900     38.4000     359.200
     14.3569     234.000     38.5000     359.300
     14.3669     233.900     38.5000     359.300
     14.3769     234.100     38.5998     359.300
     14.3869     234.500     38.7000     359.200
     14.3969     234.400     38.6500     359.200
     14.4069     234.300     38.6000     359.200
     14.4169     233.601     38.5002     359.100
     14.4269     233.500     38.9000     359.200
     14.4369     233.550     38.7500     359.150
     14.4469     233.600     38.6000     359.100
     14.4569     233.500     38.7000     358.800
     14.4669     233.600     39.0000     359.000
     14.4769     233.700     38.8500     359.100
     14.4869     233.800     38.7002     359.200
     14.4969     234.300     38.9000     359.300
     14.5069     234.550     38.9000     359.200
     14.5169     234.800     38.9000     359.100
     14.5269     234.300     38.9000     358.700
     14.5369     234.300     38.8500     358.850
     14.5469     234.300     38.8000     359.000
     14.5569     234.450     38.8000     358.850
     14.5669     234.600     38.8000     358.700
     14.5769     235.300     38.9000     358.300
     14.5869     235.750     38.8500     358.400
     14.5969     236.200     38.8000     358.500
     14.6069     236.050     38.8500     358.400
     14.6169     235.900     38.9000     358.300
     14.6269     236.299     38.8002     358.600
     14.6369     237.100     38.7500     358.650
     14.6469     237.900     38.7000     358.700
     14.6569     238.450     38.7000     358.500
     14.6669     238.999     38.7000     358.300
     14.6769     239.750     38.8000     358.450
     14.6869     240.500     38.9000     358.600
     14.6969     240.950     38.8500     358.750
     14.7069     241.400     38.8000     358.900
     14.7169     241.750     38.7000     358.900
     14.7269     242.100     38.6000     358.900
     14.7369     242.449     38.6998     358.900
     14.7469     242.800     38.8000     358.900
     14.7569     242.900     38.8000     358.850
     14.7669     243.000     38.8000     358.800
     14.7769     242.800     38.8000     358.750
     14.7869     242.600     38.8000     358.700
     14.7969     242.150     38.8000     358.650
     14.8069     241.701     38.8000     358.600
     14.8169     241.533     38.8000     358.700
     14.8269     241.367     38.8000     358.800
     14.8369     241.200     38.8000     358.900
     14.8469     241.350     38.8000     358.850
     14.8569     241.500     38.8000     358.800
     14.8669     242.200     38.8000     358.800
     14.8769     242.899     38.8000     358.800
     14.8869     243.900     38.8500     358.800
     14.8969     244.900     38.9000     358.800
     14.9069     245.550     38.9000     358.900
     14.9169     246.199     38.9000     359.000
     14.9269     246.033     38.8333     358.833
     14.9369     245.867     38.7667     358.667
     14.9469     245.700     38.7000     358.500
     14.9569     245.950     38.7500     358.300
     14.9669     246.200     38.8000     358.100
     14.9769     246.800     38.8500     358.500
     14.9869     247.399     38.8999     358.899
     14.9969     247.100     38.9000     358.950
     15.0069     246.800     38.9000     359.000
     15.0169     246.600     38.8667     358.867
     15.0269     246.400     38.8333     358.733
